Region,Region ID,MarCases,AprCases,MayCases,JunCases,MarTest,AprTest,MayTest,JunTest,MarMask,AprMask,MayMask,JunMask,MarWork,AprWork,MayWork,JunWork,MarRec,AprRec,MayRec,JunRec,MarDeath,AprDeath,MayDeath,JunDeath,MarAge,AprAge,MayAge,JunAge
Nebraska,27,0,0,2,2,1,0,0,0,0,0,0,0,1,1,1,2,1,1,2,2,0,0,0,1,1,1,1,1
Nevada,28,0,3,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,2,0,1,0,0,0,1,1,1
New Hampshire,29,0,1,3,3,1,0,0,1,0,0,0,0,1,1,1,1,1,1,2,2,0,0,1,1,0,1,1,1
New Jersey,30,0,3,3,2,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0
New Mexico,31,0,1,2,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,2,0,0,1,1,0,1,1,1
New York,32,0,3,3,3,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0
North Carolina,33,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,0,0,1,1,1,1,1,1
North Dakota,34,0,0,1,2,1,1,1,1,0,0,0,0,1,1,2,2,1,1,2,3,0,1,1,0,0,1,1,1
Ohio,35,0,0,3,0,1,0,0,1,0,0,0,0,1,1,1,2,1,1,2,2,0,0,0,1,0,1,1,1
Oklahoma,36,0,3,1,0,0,1,1,0,0,0,0,0,1,1,1,2,1,1,2,2,0,1,1,1,1,1,1,1
Oregon,37,0,3,3,2,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,2,0,0,1,1,0,1,1,1
Pennsylvania,38,0,3,3,2,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,1,0,1,1,0
Rhode Island,39,0,2,3,3,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,2,0,0,1,1,0,1,1,0
South Carolina,40,0,2,1,1,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,2,0,1,1,0,1,1,1,1
South Dakota,41,0,3,3,3,0,0,0,0,0,0,0,0,2,1,1,2,1,1,2,3,1,0,1,1,1,1,1,1
Tennessee,42,0,3,3,1,0,0,1,1,0,0,0,0,1,1,1,2,1,1,2,2,0,1,1,1,0,1,1,1
Texas,43,0,3,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,0,1,0,1,1,1,1,1
Utah,44,0,0,2,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,2,2,0,0,1,1,1,1,1,1
Vermont,45,0,3,3,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,1,1,0
Virginia,46,0,1,2,2,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,2,0,0,1,1,0,1,1,1
Washington,47,0,1,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,2,0,1,1,0,0,1,1,1
West Virginia,48,0,2,1,0,0,1,1,1,0,0,0,0,1,1,1,2,1,1,2,2,0,0,0,1,0,1,1,1
Wisconsin,49,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,2,1,1,1,2,0,1,1,0,0,1,1,1
Wyoming,50,0,3,0,1,1,1,1,1,0,0,0,0,1,1,2,2,1,1,2,3,1,1,0,0,0,1,1,1
